,Product Name,Product Review,Product Price (discounted),product Price (Original),Discount Percentage
0,"Apple iPhone SE (256GB ROM, MMXM3HN/A, Midnight)",(0 Reviews),,"₹58,900.00",6% Off
1,"Apple iPhone SE (64GB ROM, MMXG3HN/A, Starlight)",(1 Reviews),,"₹43,900.00",8% Off
2,"Apple iPhone SE (64GB ROM, MMXF3HN/A, Midnight)",(0 Reviews),,"₹43,900.00",8% Off
3,"Apple iPhone SE (128GB ROM, MMXJ3HN/A, Midnight)",(1 Reviews),,"₹48,900.00",7% Off
4,"Apple iPhone SE (128GB ROM, MMXK3HN/A, Starlight)",(0 Reviews),,"₹48,900.00",7% Off
5,"Apple iPhone SE (256GB ROM, MMXN3HN/A, Starlight)",(0 Reviews),,"₹58,900.00",6% Off
6,"Apple iPhone SE (256GB ROM, MMXP3HN/A, (Product)Red)",(0 Reviews),,"₹58,900.00",6% Off
7,"Apple iPhone SE (128GB ROM, MMXL3HN/A, (Product)Red)",(0 Reviews),,"₹48,900.00",7% Off
8,"Apple iPhone SE (64GB ROM, MMXH3HN/A, (Product)Red)",(0 Reviews),,"₹43,900.00",8% Off
9,"Apple iPhone SE (128GB ROM, 3GB RAM, MHGU3HN/A, White)",(161 Reviews),,"₹44,900.00",9% Off
10,"Apple iPhone SE (64GB ROM, 3GB RAM, MHGQ3HN/A, White)",(162 Reviews),,"₹39,900.00",10% Off
11,"Apple iPhone SE (128GB ROM, 3GB RAM, MHGV3HN/A, (Product)Red)",(156 Reviews),,,
